gen,pop1,pop2,k1,k2
1,500,500,0.00,0.00
1,504,476,0.21,0.22
2,510,490,0.46,0.41
3,501,458,0.65,0.68
4,491,455,0.71,0.96
5,497,451,0.84,1.10
6,503,430,0.98,1.30
7,472,454,1.22,1.65
8,458,426,1.31,1.87
9,442,422,1.42,2.00
10,471,430,1.75,2.07
11,491,387,1.78,2.17
12,496,340,1.98,2.23
13,463,315,2.08,2.42
14,503,337,2.30,2.41
15,487,315,2.45,2.59
16,495,294,2.61,2.60
17,477,263,2.52,2.81
18,489,305,2.51,2.90
19,504,300,2.62,2.99
20,490,273,2.56,3.05
21,540,266,2.49,3.20
22,524,255,2.53,3.15
23,476,272,2.72,3.43
24,546,244,2.74,3.64
25,513,225,2.77,3.64
26,511,206,2.75,3.78
27,560,216,2.76,3.75
28,540,213,2.64,3.79
29,565,184,2.70,3.82
30,537,176,2.83,3.89
31,565,166,2.94,4.03
32,563,158,2.97,4.35
33,492,147,3.07,4.31
34,537,178,3.16,4.23
35,548,179,3.19,4.51
36,513,161,3.21,4.23
37,536,167,3.34,4.41
38,509,178,3.34,4.53
39,527,179,3.46,4.54
40,527,169,3.62,4.57
41,528,148,3.63,4.59
42,581,133,3.57,4.68
43,562,120,3.43,5.26
44,553,104,3.40,5.39
45,570,95,3.39,5.44
46,580,84,3.40,5.92
47,599,72,3.29,5.62
48,633,81,3.19,5.84
49,590,66,3.33,5.80
50,640,77,3.45,6.14
51,666,75,3.51,5.97
52,680,61,3.61,6.11
53,721,60,3.65,6.23
54,687,55,3.73,5.84
55,664,51,3.78,5.63
56,624,51,3.84,5.41
57,593,42,3.86,5.64
58,547,31,3.97,6.03
59,611,22,4.13,6.64
60,637,26,4.13,5.88
61,615,29,4.33,5.79
62,585,20,4.35,6.30
63,590,13,4.33,6.69
64,506,6,4.42,6.50
65,558,5,4.40,6.20
66,532,7,4.36,6.00
67,552,1,4.49,7.00
68,559,0,4.54,-1.00
69,576,0,4.67,-1.00
70,584,0,4.65,-1.00
71,547,0,4.75,-1.00
72,510,0,4.78,-1.00
73,469,0,4.96,-1.00
74,535,0,4.84,-1.00
75,542,0,4.86,-1.00
76,555,0,4.82,-1.00
77,573,0,4.88,-1.00
78,586,0,4.90,-1.00
79,576,0,4.87,-1.00
80,582,0,4.82,-1.00
81,561,0,4.68,-1.00
82,581,0,4.75,-1.00
83,589,0,4.80,-1.00
84,578,0,4.96,-1.00
85,553,0,4.94,-1.00
86,570,0,5.01,-1.00
87,565,0,4.96,-1.00
88,553,0,4.81,-1.00
89,588,0,4.86,-1.00
90,570,0,4.88,-1.00
91,565,0,4.99,-1.00
92,539,0,4.96,-1.00
93,563,0,5.15,-1.00
94,566,0,5.29,-1.00
95,538,0,5.38,-1.00
96,542,0,5.39,-1.00
97,520,0,5.38,-1.00
98,526,0,5.44,-1.00
99,502,0,5.42,-1.00
100,509,0,5.27,-1.00
101,522,0,5.10,-1.00
102,569,0,5.07,-1.00
103,565,0,5.16,-1.00
104,554,0,5.09,-1.00
105,521,0,4.97,-1.00
106,557,0,5.13,-1.00
107,564,0,5.06,-1.00
108,518,0,5.02,-1.00
109,525,0,4.91,-1.00
110,541,0,4.57,-1.00
111,559,0,4.49,-1.00
112,520,0,4.44,-1.00
113,554,0,4.52,-1.00
114,572,0,4.27,-1.00
115,582,0,4.15,-1.00
116,636,0,4.02,-1.00
117,595,0,3.78,-1.00
118,618,0,3.82,-1.00
119,591,0,3.76,-1.00
120,668,0,3.78,-1.00
121,668,0,3.78,-1.00
122,651,0,3.64,-1.00
123,636,0,3.65,-1.00
124,641,0,3.65,-1.00
125,667,0,3.69,-1.00
126,632,0,3.78,-1.00
127,602,0,3.82,-1.00
128,633,0,3.84,-1.00
129,632,0,3.92,-1.00
130,608,0,3.96,-1.00
131,611,0,3.97,-1.00
132,591,0,4.03,-1.00
133,575,0,4.01,-1.00
134,567,0,4.04,-1.00
135,620,0,4.12,-1.00
136,585,0,4.29,-1.00
137,630,0,4.42,-1.00
138,648,0,4.52,-1.00
139,666,0,4.50,-1.00
140,621,0,4.62,-1.00
141,614,0,4.68,-1.00
142,623,0,4.79,-1.00
143,574,0,4.89,-1.00
144,582,0,4.84,-1.00
145,581,0,4.92,-1.00
146,582,0,4.85,-1.00
147,546,0,4.85,-1.00
148,569,0,4.81,-1.00
149,545,0,4.79,-1.00
150,546,0,4.54,-1.00
151,558,0,4.51,-1.00
152,578,0,4.47,-1.00
153,603,0,4.74,-1.00
154,593,0,4.88,-1.00
155,582,0,4.86,-1.00
156,582,0,4.91,-1.00
157,534,0,4.87,-1.00
158,568,0,4.85,-1.00
159,553,0,4.80,-1.00
160,537,0,4.91,-1.00
161,517,0,4.91,-1.00
162,492,0,5.07,-1.00
163,511,0,5.05,-1.00
164,579,0,5.08,-1.00
165,531,0,5.18,-1.00
166,508,0,5.14,-1.00
167,524,0,5.28,-1.00
168,544,0,5.19,-1.00
169,532,0,5.32,-1.00
170,583,0,5.37,-1.00
171,539,0,5.32,-1.00
172,534,0,5.38,-1.00
173,509,0,5.39,-1.00
174,516,0,5.28,-1.00
175,501,0,5.26,-1.00
176,526,0,5.29,-1.00
177,525,0,5.30,-1.00
178,510,0,5.33,-1.00
179,550,0,5.54,-1.00
180,545,0,5.50,-1.00
181,533,0,5.46,-1.00
182,547,0,5.52,-1.00
183,508,0,5.60,-1.00
184,537,0,5.43,-1.00
185,505,0,5.28,-1.00
186,532,0,5.21,-1.00
187,513,0,5.34,-1.00
188,493,0,5.44,-1.00
189,479,0,5.56,-1.00
190,475,0,5.57,-1.00
191,480,0,5.52,-1.00
192,488,0,5.63,-1.00
193,452,0,5.70,-1.00
194,487,0,5.85,-1.00
195,505,0,5.95,-1.00
196,500,0,5.94,-1.00
197,541,0,6.18,-1.00
198,502,0,6.23,-1.00
199,478,0,6.29,-1.00
200,483,0,6.37,-1.00
201,491,0,6.33,-1.00
202,475,0,6.27,-1.00
203,480,0,6.30,-1.00
204,454,0,6.31,-1.00
205,421,0,6.51,-1.00
206,434,0,6.56,-1.00
207,456,0,6.53,-1.00
208,461,0,6.37,-1.00
209,435,0,6.39,-1.00
210,450,0,6.26,-1.00
211,414,0,6.31,-1.00
212,409,0,6.30,-1.00
213,405,0,6.22,-1.00
214,413,0,6.28,-1.00
215,394,0,6.32,-1.00
216,442,0,6.28,-1.00
217,448,0,6.28,-1.00
218,498,0,6.13,-1.00
219,477,0,6.18,-1.00
220,486,0,6.09,-1.00
221,477,0,6.02,-1.00
222,442,0,6.04,-1.00
223,451,0,5.98,-1.00
224,480,0,5.93,-1.00
225,473,0,5.92,-1.00
226,480,0,6.04,-1.00
227,473,0,5.91,-1.00
228,507,0,5.78,-1.00
229,527,0,5.87,-1.00
230,493,0,5.84,-1.00
231,490,0,5.82,-1.00
232,481,0,5.93,-1.00
233,451,0,5.89,-1.00
234,458,0,5.89,-1.00
235,481,0,5.91,-1.00
236,462,0,5.93,-1.00
237,515,0,5.97,-1.00
238,490,0,6.00,-1.00
239,529,0,6.14,-1.00
240,507,0,6.17,-1.00
241,474,0,6.38,-1.00
242,458,0,6.41,-1.00
243,494,0,6.35,-1.00
244,512,0,6.40,-1.00
245,459,0,6.49,-1.00
246,448,0,6.48,-1.00
247,452,0,6.39,-1.00
248,426,0,6.49,-1.00
249,441,0,6.34,-1.00
250,433,0,6.42,-1.00
251,447,0,6.42,-1.00
252,412,0,6.41,-1.00
253,428,0,6.41,-1.00
254,453,0,6.32,-1.00
255,463,0,6.17,-1.00
256,496,0,6.22,-1.00
257,464,0,6.12,-1.00
258,435,0,6.08,-1.00
259,474,0,6.12,-1.00
260,479,0,6.15,-1.00
261,427,0,6.19,-1.00
262,437,0,6.12,-1.00
263,396,0,6.33,-1.00
264,400,0,6.31,-1.00
265,422,0,6.49,-1.00
266,411,0,6.56,-1.00
267,392,0,6.69,-1.00
268,409,0,6.79,-1.00
269,416,0,6.76,-1.00
270,392,0,6.72,-1.00
271,382,0,6.80,-1.00
272,376,0,6.69,-1.00
273,398,0,6.72,-1.00
274,411,0,6.95,-1.00
275,422,0,7.13,-1.00
276,447,0,7.16,-1.00
277,471,0,7.21,-1.00
278,464,0,7.22,-1.00
279,456,0,7.12,-1.00
280,432,0,7.24,-1.00
281,424,0,7.21,-1.00
282,386,0,7.33,-1.00
283,360,0,7.26,-1.00
284,376,0,7.28,-1.00
285,367,0,7.39,-1.00
286,348,0,7.35,-1.00
287,346,0,7.22,-1.00
288,353,0,7.23,-1.00
289,345,0,7.29,-1.00
290,342,0,7.30,-1.00
291,348,0,7.43,-1.00
292,374,0,7.38,-1.00
293,387,0,7.46,-1.00
294,411,0,7.49,-1.00
295,397,0,7.51,-1.00
296,381,0,7.64,-1.00
297,377,0,7.72,-1.00
298,376,0,7.62,-1.00
299,361,0,7.76,-1.00
300,356,0,7.83,-1.00
301,340,0,8.06,-1.00
302,326,0,8.10,-1.00
303,297,0,8.25,-1.00
304,287,0,8.48,-1.00
305,277,0,8.42,-1.00
306,231,0,8.53,-1.00
307,245,0,8.67,-1.00
308,269,0,8.80,-1.00
309,282,0,8.85,-1.00
310,290,0,8.95,-1.00
311,277,0,9.00,-1.00
312,253,0,8.98,-1.00
313,259,0,9.11,-1.00
314,276,0,9.22,-1.00
315,259,0,9.41,-1.00
316,244,0,9.55,-1.00
317,239,0,9.54,-1.00
318,223,0,9.37,-1.00
319,222,0,9.38,-1.00
320,217,0,9.43,-1.00
321,231,0,9.38,-1.00
322,212,0,9.31,-1.00
323,218,0,9.29,-1.00
324,203,0,9.33,-1.00
325,226,0,9.43,-1.00
326,206,0,9.44,-1.00
327,177,0,9.40,-1.00
328,186,0,9.55,-1.00
329,205,0,9.38,-1.00
330,209,0,9.35,-1.00
331,181,0,9.35,-1.00
332,166,0,9.50,-1.00
333,170,0,9.44,-1.00
334,159,0,9.47,-1.00
335,167,0,9.44,-1.00
336,179,0,9.28,-1.00
337,193,0,9.25,-1.00
338,205,0,9.13,-1.00
339,201,0,9.01,-1.00
340,212,0,9.02,-1.00
341,206,0,8.92,-1.00
342,214,0,8.86,-1.00
343,235,0,9.05,-1.00
344,212,0,9.11,-1.00
345,229,0,9.21,-1.00
346,236,0,9.01,-1.00
347,251,0,8.97,-1.00
348,278,0,9.16,-1.00
349,281,0,9.16,-1.00
350,264,0,9.04,-1.00
351,240,0,9.08,-1.00
352,263,0,9.08,-1.00
353,267,0,9.05,-1.00
354,262,0,9.03,-1.00
355,240,0,9.21,-1.00
356,245,0,9.17,-1.00
357,242,0,9.23,-1.00
358,233,0,9.44,-1.00
359,230,0,9.46,-1.00
360,225,0,9.64,-1.00
361,227,0,9.57,-1.00
362,227,0,9.72,-1.00
363,249,0,9.57,-1.00
364,245,0,9.56,-1.00
365,276,0,9.67,-1.00
366,246,0,9.72,-1.00
367,236,0,9.81,-1.00
368,238,0,10.03,-1.00
369,224,0,10.14,-1.00
370,214,0,10.24,-1.00
371,190,0,10.39,-1.00
372,180,0,10.47,-1.00
373,175,0,10.43,-1.00
374,173,0,10.54,-1.00
375,159,0,10.37,-1.00
376,156,0,10.54,-1.00
377,147,0,10.73,-1.00
378,138,0,10.57,-1.00
379,150,0,10.63,-1.00
380,154,0,10.71,-1.00
381,140,0,10.63,-1.00
382,153,0,10.81,-1.00
383,142,0,10.67,-1.00
384,153,0,10.67,-1.00
385,152,0,10.89,-1.00
386,167,0,10.98,-1.00
387,161,0,10.88,-1.00
388,164,0,11.18,-1.00
389,146,0,11.60,-1.00
390,145,0,11.54,-1.00
391,129,0,11.44,-1.00
392,118,0,11.26,-1.00
393,136,0,11.44,-1.00
394,114,0,11.82,-1.00
395,106,0,12.06,-1.00
396,120,0,12.21,-1.00
397,121,0,12.26,-1.00
398,130,0,12.37,-1.00
399,128,0,12.34,-1.00
400,107,0,12.35,-1.00
401,97,0,12.46,-1.00
402,101,0,12.45,-1.00
403,98,0,12.67,-1.00
404,94,0,12.59,-1.00
405,88,0,12.72,-1.00
406,91,0,12.73,-1.00
407,97,0,12.78,-1.00
408,83,0,13.05,-1.00
409,73,0,13.26,-1.00
410,81,0,13.11,-1.00
411,78,0,12.68,-1.00
412,79,0,12.87,-1.00
413,78,0,12.86,-1.00
414,88,0,12.94,-1.00
415,74,0,13.15,-1.00
416,73,0,13.52,-1.00
417,70,0,13.29,-1.00
418,78,0,13.46,-1.00
419,54,0,13.15,-1.00
420,51,0,12.82,-1.00
421,61,0,13.31,-1.00
422,57,0,12.67,-1.00
423,60,0,12.97,-1.00
424,50,0,13.16,-1.00
425,43,0,13.00,-1.00
426,39,0,12.72,-1.00
427,30,0,12.00,-1.00
428,41,0,11.83,-1.00
429,46,0,11.74,-1.00
430,50,0,11.72,-1.00
431,52,0,11.54,-1.00
432,55,0,11.87,-1.00
433,48,0,12.19,-1.00
434,55,0,11.98,-1.00
435,47,0,12.00,-1.00
436,57,0,11.61,-1.00
437,60,0,11.43,-1.00
438,62,0,11.35,-1.00
439,64,0,11.11,-1.00
440,70,0,10.96,-1.00
441,85,0,10.94,-1.00
442,76,0,10.89,-1.00
443,93,0,10.91,-1.00
444,102,0,11.04,-1.00
445,108,0,11.29,-1.00
446,113,0,11.25,-1.00
447,99,0,11.20,-1.00
448,100,0,11.58,-1.00
449,110,0,11.78,-1.00
450,112,0,11.67,-1.00
451,105,0,11.73,-1.00
452,117,0,11.84,-1.00
453,123,0,11.73,-1.00
454,123,0,11.46,-1.00
455,135,0,11.03,-1.00
456,136,0,10.85,-1.00
457,144,0,10.91,-1.00
458,144,0,10.85,-1.00
459,141,0,10.79,-1.00
460,157,0,10.97,-1.00
461,161,0,10.84,-1.00
462,170,0,10.82,-1.00
463,186,0,10.74,-1.00
464,191,0,10.92,-1.00
465,186,0,10.84,-1.00
466,189,0,10.71,-1.00
467,164,0,10.70,-1.00
468,176,0,10.84,-1.00
469,171,0,10.50,-1.00
470,177,0,10.54,-1.00
471,146,0,10.66,-1.00
472,173,0,10.58,-1.00
473,194,0,10.57,-1.00
474,194,0,10.61,-1.00
475,200,0,10.39,-1.00
476,206,0,10.05,-1.00
477,217,0,9.94,-1.00
478,235,0,9.72,-1.00
479,240,0,9.69,-1.00
480,252,0,9.65,-1.00
481,243,0,9.62,-1.00
482,234,0,9.78,-1.00
483,226,0,9.82,-1.00
484,202,0,9.51,-1.00
485,206,0,9.62,-1.00
486,196,0,9.54,-1.00
487,215,0,9.51,-1.00
488,206,0,9.65,-1.00
489,169,0,9.93,-1.00
490,223,0,10.02,-1.00
491,216,0,10.17,-1.00
492,216,0,10.19,-1.00
493,205,0,10.06,-1.00
494,182,0,9.98,-1.00
495,194,0,10.11,-1.00
496,189,0,10.01,-1.00
497,208,0,10.10,-1.00
498,192,0,10.10,-1.00
499,195,0,10.28,-1.00
500,187,0,10.44,-1.00
