1.000,
1.000,
1.000,
1.000,
1.000,
1.000,
1.000,
1.000,
1.000,
1.000,
1.000,
1.000,
1.000,
1.000,
1.000,
1.000,
1.000,
1.000,0.001,
1.000,0.001,0.000,
1.000,0.000,0.000,
1.000,0.000,0.000,
1.000,0.000,0.000,
1.000,0.000,0.000,
1.000,0.000,0.000,
1.000,0.000,0.000,
1.000,0.000,0.000,
1.000,0.000,0.000,
1.000,0.000,0.000,
1.000,0.000,0.000,
1.000,0.000,0.000,
1.000,0.000,0.000,
1.000,0.000,0.000,
1.000,0.000,0.000,
1.000,0.000,0.000,
1.000,0.000,0.000,
1.000,0.000,0.000,
1.000,0.000,0.000,
1.000,0.000,0.000,
1.000,0.000,0.000,
1.000,0.000,0.000,
1.000,0.000,0.000,
1.000,0.000,0.000,
1.000,0.000,0.000,
1.000,0.000,0.000,
1.000,0.000,0.000,
1.000,0.000,0.000,
1.000,0.000,0.000,
1.000,0.000,0.000,
1.000,0.000,0.000,
1.000,0.000,0.000,
1.000,0.000,0.000,
1.000,0.000,0.000,
1.000,0.000,0.000,
1.000,0.000,0.000,
1.000,0.000,0.000,
1.000,0.000,0.000,
1.000,0.000,0.000,
1.000,0.000,0.000,
1.000,0.000,0.000,
1.000,0.000,0.000,
1.000,0.000,0.000,
1.000,0.000,0.000,
1.000,0.000,0.000,
1.000,0.000,0.000,
1.000,0.000,0.000,
1.000,0.000,0.000,
1.000,0.000,0.000,
1.000,0.000,0.000,
1.000,0.000,0.000,
1.000,0.000,0.000,
0.999,0.000,0.000,0.001,
0.999,0.000,0.000,0.001,
0.999,0.000,0.000,0.002,
0.998,0.000,0.000,0.003,
0.995,0.000,0.000,0.005,
0.995,0.000,0.000,0.005,
0.998,0.000,0.000,0.003,
0.997,0.000,0.000,0.004,
0.998,0.000,0.000,0.003,
0.998,0.000,0.000,0.002,
0.997,0.000,0.000,0.003,
0.992,0.000,0.000,0.009,
0.981,0.000,0.000,0.019,
0.972,0.000,0.000,0.028,
0.947,0.000,0.000,0.053,
0.951,0.000,0.000,0.049,
0.953,0.000,0.000,0.048,
0.961,0.000,0.000,0.039,
0.962,0.000,0.000,0.038,
0.968,0.000,0.000,0.032,
0.928,0.000,0.000,0.071,
0.876,0.000,0.000,0.124,
0.796,0.000,0.000,0.203,
0.658,0.000,0.000,0.342,
0.520,0.000,0.000,0.480,
0.555,0.000,0.000,0.445,
0.585,0.000,0.000,0.415,
0.620,0.000,0.000,0.380,
0.643,0.000,0.000,0.356,
0.668,0.000,0.000,0.332,
0.521,0.000,0.000,0.479,
0.368,0.000,0.000,0.632,
0.251,0.000,0.000,0.749,
0.155,0.000,0.000,0.845,
0.089,0.000,0.000,0.910,
0.100,0.000,0.000,0.900,
0.117,0.000,0.000,0.882,
0.143,0.000,0.000,0.857,
0.168,0.000,0.000,0.832,
0.207,0.000,0.000,0.793,
0.134,0.000,0.000,0.867,
0.088,0.000,0.000,0.912,
0.044,0.000,0.000,0.956,
0.026,0.000,0.000,0.974,
0.015,0.000,0.000,0.986,
0.018,0.000,0.000,0.982,
0.029,0.000,0.000,0.972,
0.038,0.000,0.000,0.962,
0.045,0.000,0.000,0.955,
0.062,0.000,0.000,0.938,
0.035,0.000,0.000,0.965,
0.025,0.000,0.000,0.975,
0.015,0.000,0.000,0.985,
0.011,0.000,0.000,0.989,
0.009,0.000,0.000,0.989,0.003,
0.010,0.000,0.000,0.990,0.000,
0.012,0.000,0.000,0.988,0.000,0.000,
0.018,0.000,0.000,0.982,0.000,0.000,
0.025,0.000,0.000,0.975,0.000,0.000,
0.034,0.000,0.000,0.966,0.000,0.000,
0.018,0.000,0.000,0.982,0.000,0.000,
0.010,0.000,0.000,0.990,0.000,0.000,
0.004,0.000,0.000,0.997,0.000,0.000,
0.003,0.000,0.000,0.998,0.000,0.000,
0.002,0.000,0.000,0.998,0.000,0.000,
0.003,0.000,0.000,0.997,0.000,0.000,
0.002,0.000,0.000,0.998,0.000,0.000,
0.005,0.000,0.000,0.995,0.000,0.000,
0.005,0.000,0.000,0.995,0.000,0.000,
0.009,0.000,0.000,0.992,0.000,0.000,
0.004,0.000,0.000,0.996,0.000,0.000,
0.002,0.000,0.000,0.998,0.000,0.000,
0.001,0.000,0.000,0.999,0.000,0.000,
0.001,0.000,0.000,1.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,
0.000,0.000,0.000,0.999,0.000,0.000,0.000,0.001,
0.000,0.000,0.000,0.997,0.000,0.000,0.000,0.003,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,0.999,0.000,0.000,0.000,0.000,0.000,0.001,
0.000,0.000,0.000,0.999,0.000,0.000,0.000,0.000,0.000,0.001,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.001,
0.000,0.000,0.000,0.999,0.000,0.000,0.000,0.000,0.000,0.001,
0.000,0.000,0.000,0.999,0.000,0.000,0.000,0.000,0.000,0.001,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.001,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,
0.000,0.000,0.000,0.999,0.000,0.000,0.000,0.000,0.000,0.000,0.001,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,
0.000,0.000,0.000,0.998,0.000,0.000,0.000,0.000,0.000,0.000,0.003,
0.000,0.000,0.000,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.004,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,
0.000,0.000,0.000,0.998,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,
0.000,0.000,0.000,0.997,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,
0.000,0.000,0.000,0.990,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.010,
0.000,0.000,0.000,0.982,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.018,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
